#ZVView-data-copy::  19-Sep-2026 21:09:28
#=======================================
#
#name:   JENDL-4.0: NP-237(N,F) E_in=1.e-11 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  18.6            2.0481e-12      3.64659e-12      #dY:178.0% 
  18.7            1.89744e-12     3.41881e-12      #dY:180.2% 
  18.8            1.7578e-12      3.1672e-12       #dY:180.2% 
  18.9            1.62837e-12     2.98581e-12      #dY:183.4% 
  19              1.50842e-12     2.76587e-12      #dY:183.4% 
  19.1            1.39726e-12     2.59189e-12      #dY:185.5% 
  19.2            1.29424e-12     2.40079e-12      #dY:185.5% 
  19.3            1.19877e-12     2.26186e-12      #dY:188.7% 
  19.4            1.11031e-12     2.09495e-12      #dY:188.7% 
  19.5            1.02834e-12     1.96224e-12      #dY:190.8% 
  19.6            9.52382e-13     1.8173e-12       #dY:190.8% 
  19.7            8.82007e-13     1.71116e-12      #dY:194.0% 
  19.8            8.16804e-13     1.58466e-12      #dY:194.0% 
  19.9            7.56395e-13     1.48354e-12      #dY:196.1% 
  20              7.0043e-13      1.37378e-12      #dY:196.1% 
  20.2            0.00            0.00                        
//
#-------------------------------------------------------------------------------
#
#name:   JENDL-4.0: NP-237(N,F) E_in=0.1 MeV
#X.axis: Energy
#Y.axis: 
#wdata:  3
#ldata:  352
#data...
# X               Y               +-dY           
# MeV             1/eV            1/eV           
  0.00            0.00            0.00                        
  1.00e-11        2.18095e-12     0.00                        
  1.20e-11        2.38912e-12     0.00                        
  1.40e-11        2.58054e-12     0.00                        
  1.60e-11        2.75871e-12     0.00                        
  1.80e-11        2.92606e-12     0.00                        
  2.20e-11        3.23488e-12     0.00                        
  2.50e-11        3.44839e-12     0.00                        
  2.90e-11        3.71403e-12     0.00                        
  3.40e-11        4.02148e-12     3.59082e-13      #dY:8.9%   
  4.00e-11        4.36191e-12     3.8948e-13       #dY:8.9%   
  4.60e-11        4.67763e-12     4.17671e-13      #dY:8.9%   
  5.40e-11        5.06808e-12     4.52534e-13      #dY:8.9%   
  6.30e-11        5.47415e-12     4.88793e-13      #dY:8.9%   
  7.40e-11        5.93283e-12     5.29749e-13      #dY:8.9%   
  8.60e-11        6.39581e-12     5.71089e-13      #dY:8.9%   
  1.00e-10        6.89678e-12     7.1976e-13       #dY:10.4%  
  1.20e-10        7.55504e-12     7.88457e-13      #dY:10.4%  
  1.40e-10        8.16037e-12     8.5163e-13       #dY:10.4%  
  1.60e-10        8.7238e-12      9.10431e-13      #dY:10.4%  
  1.80e-10        9.25299e-12     9.65658e-13      #dY:10.4%  
  2.20e-10        1.02296e-11     1.06758e-12      #dY:10.4%  
  2.50e-10        1.09047e-11     1.13803e-12      #dY:10.4%  
  2.90e-10        1.17448e-11     1.22571e-12      #dY:10.4%  
  3.40e-10        1.2717e-11      1.31587e-12      #dY:10.3%  
  4.00e-10        1.37935e-11     1.42725e-12      #dY:10.3%  
  4.60e-10        1.47919e-11     1.53056e-12      #dY:10.3%  
  5.40e-10        1.60266e-11     1.65832e-12      #dY:10.3%  
  6.30e-10        1.73107e-11     1.79119e-12      #dY:10.3%  
  7.40e-10        1.87612e-11     1.94128e-12      #dY:10.3%  
  8.60e-10        2.02252e-11     2.09276e-12      #dY:10.3%  
  1.00e-9         2.18094e-11     2.25668e-12      #dY:10.3%  
  1.20e-9         2.3891e-11      2.49329e-12      #dY:10.4%  
  1.40e-9         2.58052e-11     2.69305e-12      #dY:10.4%  
  1.60e-9         2.7587e-11      2.879e-12        #dY:10.4%  
  1.80e-9         2.92604e-11     3.05364e-12      #dY:10.4%  
  2.20e-9         3.23485e-11     3.37592e-12      #dY:10.4%  
  2.50e-9         3.44836e-11     3.59874e-12      #dY:10.4%  
  2.90e-9         3.714e-11       3.87596e-12      #dY:10.4%  
  3.40e-9         4.02144e-11     4.16117e-12      #dY:10.3%  
  4.00e-9         4.36186e-11     4.51341e-12      #dY:10.3%  
  4.60e-9         4.67757e-11     4.84009e-12      #dY:10.3%  
  5.40e-9         5.06802e-11     5.24411e-12      #dY:10.3%  
  6.30e-9         5.47408e-11     5.66428e-12      #dY:10.3%  
  7.40e-9         5.93275e-11     6.13888e-12      #dY:10.3%  
  8.60e-9         6.39571e-11     6.61793e-12      #dY:10.3%  
  1.00e-8         6.89666e-11     7.19739e-12      #dY:10.4%  
  1.20e-8         7.55493e-11     7.88436e-12      #dY:10.4%  
  1.40e-8         8.16021e-11     8.51603e-12      #dY:10.4%  
  1.60e-8         8.72362e-11     9.10401e-12      #dY:10.4%  
  1.80e-8         9.25279e-11     9.65625e-12      #dY:10.4%  
  2.20e-8         1.02293e-10     1.06753e-11      #dY:10.4%  
  2.50e-8         1.09045e-10     1.138e-11        #dY:10.4%  
  2.90e-8         1.17444e-10     1.22565e-11      #dY:10.4%  
  3.40e-8         1.27166e-10     1.31582e-11      #dY:10.3%  
  4.00e-8         1.37931e-10     1.42721e-11      #dY:10.3%  
  4.60e-8         1.47914e-10     1.53051e-11      #dY:10.3%  
